time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
1996-01-01-00; 0.2845; 4.7252
1996-01-01-01; 0.2774; 4.6210
1996-01-01-02; 0.3062; 4.1545
1996-01-01-03; 0.3023; 4.7619
1996-01-01-04; 0.2803; 4.9947
1996-01-01-05; 0.2774; 5.5057
1996-01-01-06; 0.2626; 5.3177
1996-01-01-07; 0.2500; 4.5429
1996-01-01-09; 0.4928; 3.3802
1996-01-01-10; 0.5342; 3.3960
1996-01-01-11; 0.5342; 3.5343
1996-01-01-12; 0.5952; 3.5750
1996-01-01-13; 0.6066; 3.6341
1996-01-01-14; 0.6694; 3.7167
1996-01-01-15; 0.6777; 3.7670
1996-01-01-16; 0.7421; 3.9769
1996-01-01-19; 0.5802; 4.1044
1996-01-01-20; 0.6026; 4.3126
1996-01-01-21; 0.4896; 4.0684
1996-01-01-22; 0.4486; 4.2696
1996-01-01-23; 0.4432; 4.2919
1996-01-02-00; 0.4450; 4.3214
1996-01-02-01; 0.4661; 4.5656
1996-01-02-02; 0.4468; 4.6557
1996-01-02-03; 0.4284; 4.5959
1996-01-02-04; 0.4441; 4.4080
1996-01-02-05; 0.4477; 4.0944
1996-01-02-06; 0.4275; 3.9858
1996-01-02-07; 0.4830; 3.5560
1996-01-02-08; 0.5120; 3.6079
1996-01-02-09; 0.4863; 3.5913
1996-01-02-10; 0.5128; 3.5698
1996-01-02-11; 0.5740; 3.4432
1996-01-02-12; 0.6777; 3.4513
1996-01-02-13; 0.6381; 3.4148
1996-01-02-14; 0.6469; 3.4493
1996-01-02-15; 0.6493; 3.4504
1996-01-02-16; 0.6475; 3.5328
1996-01-02-17; 0.6724; 3.5746
1996-01-02-18; 0.6579; 3.6014
1996-01-02-19; 0.5939; 3.7129
1996-01-02-20; 0.5802; 3.7565
1996-01-02-21; 0.5505; 3.7880
1996-01-02-22; 0.5802; 3.8541
1996-01-02-23; 0.5641; 3.8046
1996-01-03-00; 0.5591; 3.8789
1996-01-03-01; 0.5088; 3.9460
1996-01-03-02; 0.5159; 4.1175
1996-01-03-03; 0.5402; 3.9036
1996-01-03-04; 0.6209; 3.9770
1996-01-03-05; 0.6730; 3.7838
1996-01-03-06; 0.7978; 3.9196
1996-01-03-07; 0.9330; 3.8254
1996-01-03-08; 1.0074; 3.9224
1996-01-03-09; 1.1803; 4.2367
1996-01-03-10; 1.2422; 4.2791
1996-01-03-11; 1.1515; 4.1252
1996-01-03-12; 1.1766; 4.0730
1996-01-03-13; 1.2725; 4.1210
1996-01-03-14; 1.4467; 4.2833
1996-01-03-15; 1.5344; 4.5458
1996-01-03-16; 1.7944; 4.6566
1996-01-03-17; 1.5988; 4.5724
1996-01-03-18; 1.6807; 4.6208
1996-01-03-19; 1.7107; 4.7304
1996-01-03-20; 1.9165; 4.9464
1996-01-03-21; 2.2650; 5.4049
1996-01-03-22; 2.4661; 5.6417
1996-01-03-23; 2.3671; 5.7959
1996-01-04-00; 2.4992; 5.7479
1996-01-04-01; 2.5858; 5.9832
1996-01-04-02; 2.4089; 6.0566
1996-01-04-03; 2.4253; 6.2079
1996-01-04-04; 2.3399; 6.0671
1996-01-04-05; 2.4423; 6.2484
1996-01-04-06; 2.2113; 5.7272
1996-01-04-07; 2.0852; 5.7786
1996-01-04-08; 2.1876; 5.9052
1996-01-04-09; 2.1852; 6.3130
1996-01-04-10; 2.0697; 5.9850
1996-01-04-11; 1.9163; 5.8819
1996-01-04-12; 2.0086; 5.7301
1996-01-04-13; 1.6826; 5.5968
1996-01-04-14; 1.7938; 5.8670
1996-01-04-15; 1.6596; 5.8156
1996-01-04-16; 1.6136; 6.1059
1996-01-04-17; 1.4247; 5.8135
1996-01-04-18; 1.3643; 6.3680
1996-01-04-19; 1.1515; 6.4457
1996-01-04-20; 1.0936; 7.1414
1996-01-04-21; 1.1656; 7.4924
1996-01-04-22; 1.0710; 7.8156
1996-01-04-23; 0.9885; 7.5946
1996-01-05-00; 0.7754; 6.1097
1996-01-05-01; 0.8361; 6.1657
1996-01-05-02; 0.6924; 6.3889
1996-01-05-03; 0.6286; 5.8467
1996-01-05-04; 0.6854; 6.3463
1996-01-05-05; 0.6388; 6.1983
1996-01-05-06; 0.6267; 5.7598
1996-01-05-07; 0.5182; 5.9951
1996-01-05-08; 0.6400; 6.7079
1996-01-05-09; 0.6487; 6.6414
1996-01-05-10; 0.6567; 5.4645
1996-01-05-11; 0.7174; 5.3537
1996-01-05-12; 0.7938; 4.2123
1996-01-05-13; 1.0014; 4.0344
1996-01-05-14; 1.1114; 4.1017
1996-01-05-15; 1.2621; 4.2266
1996-01-05-16; 1.1293; 4.0657
1996-01-05-17; 0.8845; 4.3224
1996-01-05-18; 0.9647; 4.3203
1996-01-05-19; 1.0837; 4.0464
1996-01-05-20; 1.0540; 3.8464
1996-01-05-21; 0.8872; 3.8304
1996-01-05-22; 0.7296; 3.5901
1996-01-05-23; 0.6941; 3.7944
1996-01-06-00; 0.7769; 3.8553
1996-01-06-01; 0.7095; 3.6145
